Store,DayOfWeek,Sales,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,Week,PerCentDiseaseAffInWeek,AvgSalesPerStore,AvgCustomersPerStore,MedSalesPerStore,MedCustomersPerStore,AvgCustSpentInStore,LastWeekSalesPerStore,LastWeekCustomersPerStore
376,3,8178,0,0,1,0,0,160,8,2012,0,0,0,0,2013,1,1,45,8438.372574,948.538163,7987,931,8.896186683,49780,4852
377,3,5995,0,0,1,0,2,100,6,2010,1,18,2010,1,2013,1,1,45,7818.526786,969.4145408,7425,948,8.065204777,53022,5187
368,3,7296,0,0,1,3,2,1450,4,2005,1,45,2009,1,2013,1,1,45,9686.268983,712.8803089,9022,694,13.58751092,74290,4578
379,3,3389,0,0,1,3,0,6630,0,0,0,0,0,0,2013,1,1,45,3902.220663,467.5395408,3733,463,8.346290148,23876,2433
380,3,15658,0,0,1,0,0,2240,5,2013,1,10,2014,3,2013,1,1,45,14398.66839,1375.983226,14039,1353,10.4642761,80846,6825
381,3,9317,0,0,1,0,0,1800,11,2006,1,5,2013,1,2013,1,1,45,9001.555128,965.1910256,9003,1006.5,9.326190245,54356,5007
375,3,7629,0,0,1,0,2,15710,2,2013,1,37,2009,2,2013,1,1,45,9142.015404,757.9781772,8844,764,12.06105358,63205,4643
367,3,4052,0,0,1,3,2,2640,9,2012,0,0,0,0,2013,1,1,45,5254.23852,542.7895408,5060.5,529,9.680065892,32483,2815
363,3,7167,0,0,1,0,0,250,9,2009,0,0,0,0,2013,1,1,45,7134.200255,937.0854592,6940.5,921,7.613179978,41770,4788
365,3,4597,0,0,1,2,0,2410,0,0,1,45,2009,1,2013,1,1,45,5440.594203,587.2061192,5383,587,9.265220551,39137,3427
364,3,2774,0,0,1,0,2,13620,0,0,1,10,2014,3,2013,1,1,45,4564.955787,569.1027308,4570,587,8.021321177,34036,3616
382,3,6667,0,0,1,2,2,26130,11,2002,0,0,0,0,2013,1,1,45,7985.847436,651.2410256,7578.5,628,12.26250669,50634,3689
362,3,8662,0,0,1,2,2,340,0,0,0,0,0,0,2013,1,1,45,9376.65557,1150.618438,9042,1126,8.14923111,57435,6348
361,3,5027,0,0,1,2,2,4490,5,2014,1,5,2013,1,2013,1,1,45,6266.883333,637.8230769,6169.5,638,9.825425827,43021,3602
360,3,6279,0,0,1,0,0,2040,6,2007,0,0,0,0,2013,1,1,45,6935.459184,756.5408163,6681.5,748,9.167329818,41100,3955
359,3,6785,0,0,1,3,2,4370,0,0,0,0,0,0,2013,1,1,45,6851.255456,611.9499358,6757,605,11.19577772,38237,3131
358,3,8887,0,0,1,0,0,2890,10,2003,0,0,0,0,2013,1,1,45,10306.11168,1122.591784,9834,1087,9.180640572,59156,5722
357,3,7156,0,0,1,0,0,2060,10,2008,0,0,0,0,2013,1,1,45,7750.321569,1016.295425,7374,989,7.626051814,49305,5705
356,3,5053,0,0,1,3,2,8970,12,2007,1,22,2012,1,2013,1,1,45,5719.281853,435.8018018,5552,429,13.12358469,38435,2595
355,3,10035,0,0,1,0,2,9720,8,2013,0,0,0,0,2013,1,1,45,9148.811224,1101.663265,8940.5,1102,8.304544149,53601,5666
354,3,6317,0,0,1,3,2,1500,10,2005,0,0,0,0,2013,1,1,45,8390.581515,705.4518614,8264,696,11.8939108,45878,3565
352,3,5864,0,0,1,3,2,6360,0,0,1,40,2012,3,2013,1,1,45,6692.232143,636.9540816,6455,620,10.50661631,37552,3204
366,3,5665,0,0,1,3,2,6470,12,2004,0,0,0,0,2013,1,1,45,6196.762821,600.9282051,6004.5,607,10.3119853,40354,3441
383,3,16225,0,0,1,0,2,350,0,0,0,0,0,0,2013,1,1,45,17173.22107,2195.882965,16988,2191,7.820644971,96341,10583
387,3,11662,0,0,1,2,0,210,0,0,1,36,2013,3,2013,1,1,45,9374.828758,1197.364706,8831,1164,7.829551608,62453,6488
385,3,6762,0,0,1,3,0,4580,9,2007,0,0,0,0,2013,1,1,45,7348.519293,654.5530547,7265.5,655.5,11.22677412,46418,3750
416,3,9617,0,0,1,0,2,4650,6,2014,0,0,0,0,2013,1,1,45,11012.00638,1398.389031,10534,1370,7.874780291,64512,6884
415,3,4805,0,0,1,3,2,6910,4,2005,0,0,0,0,2013,1,1,45,6234.834615,521.2807692,6070,513,11.96060738,37391,2931
414,3,5302,0,0,1,3,2,6210,0,0,1,1,2013,2,2013,1,1,45,6427.976953,484.1408451,6273,472,13.27708046,37249,2532
413,3,7161,0,0,1,0,2,760,9,2014,0,0,0,0,2013,1,1,45,7058.217042,890.0192926,6959,901.5,7.930409038,46611,5324
412,3,8007,0,0,1,3,2,4460,0,0,1,39,2010,2,2013,1,1,45,9102.122186,644.7154341,8715.5,614,14.11804605,56575,3623
411,3,8200,0,0,1,3,2,8460,0,0,0,0,0,0,2013,1,1,45,9133.364917,700.8476312,8794,692,13.03188384,58601,3964
410,3,5540,0,0,1,2,0,40,11,2011,1,22,2012,3,2013,1,1,45,6443.878049,802.2079589,5954,772,8.032677783,39999,4235
409,3,3839,0,0,1,3,2,840,0,0,1,1,2013,2,2013,1,1,45,5527.358515,543.6760563,5359,538,10.16663958,40118,3215
408,3,4767,0,0,1,2,0,1560,0,0,1,45,2009,1,2013,1,1,45,4727.774775,465.0617761,4669,460,10.16590702,34748,2812
407,3,3505,0,0,1,0,0,5890,10,2003,1,14,2011,1,2013,1,1,45,3886.744373,314.6543408,3805,311,12.35242572,26946,2012
406,3,3495,0,0,1,3,2,8240,3,2001,1,10,2013,1,2013,1,1,45,6111.05905,474.0641849,5941,469,12.89078409,45640,3014
405,3,3832,0,0,1,0,0,1080,4,2008,1,14,2011,2,2013,1,1,45,4520.699615,487.703466,3942,461,9.269361262,29320,2691
404,3,2695,0,0,1,0,2,1420,0,0,1,10,2013,3,2013,1,1,45,4785.223979,571.3109354,4674,592,8.375866244,34553,3418
403,3,7714,0,0,1,0,0,4970,7,2015,0,0,0,0,2013,1,1,45,7468.523748,736.6867779,7378,743,10.13799076,43301,3941
402,3,5527,0,0,1,2,2,5830,9,2011,1,13,2010,2,2013,1,1,45,5857.991026,615.4269231,5687,593,9.518581014,38141,3479
401,3,5755,0,0,1,0,2,9200,10,2009,1,14,2012,2,2013,1,1,45,7026.532051,646.8448718,6825,673,10.8627777,47446,3790
400,3,6644,0,0,1,0,0,70,11,2004,1,14,2011,2,2013,1,1,45,8745.71867,1200.649616,8094.5,1165,7.284155636,55030,6747
386,3,7058,0,0,1,3,2,1460,4,2014,1,31,2013,2,2013,1,1,45,8029.54172,645.3966624,7388,618,12.44125077,44769,3213
351,3,4390,0,0,1,0,0,5290,11,2012,1,5,2013,1,2013,1,1,45,6046.867779,518.8241335,5745,503,11.654947,38664,2873
388,3,9129,0,0,1,0,0,2260,0,0,0,0,0,0,2013,1,1,45,10257.92041,1096.445443,9541,1070,9.355614069,55780,5543
389,3,9407,0,0,1,0,2,6690,8,2011,0,0,0,0,2013,1,1,45,10337.40179,1265.410714,10176,1277,8.169206779,62434,6629
390,3,11193,0,0,1,0,2,1600,4,2009,0,0,0,0,2013,1,1,45,11568.65641,1067.389744,11037.5,1040.5,10.83826829,70620,5659
391,3,5033,0,0,1,0,0,460,11,2014,1,31,2013,1,2013,1,1,45,5727.013038,691.4263364,5588,700,8.282896871,34381,3728
384,3,7266,0,0,1,0,2,130,0,0,1,14,2011,2,2013,1,1,45,8871.575448,998.8554987,8468,993.5,8.881740611,59125,5960
392,3,6517,0,0,1,0,0,2120,0,0,0,0,0,0,2013,1,1,45,7279.428755,718.0821566,6902,721,10.1373202,38965,3687
394,3,6375,0,0,1,3,0,10850,0,0,0,0,0,0,2013,1,1,45,8353.245839,661.871959,8200,661,12.62063716,53041,3694
395,3,4066,0,0,1,0,0,3620,2,2013,0,0,0,0,2013,1,1,45,3989.134788,519.6546855,3906,526,7.676510767,22115,2526
396,3,11108,0,0,1,0,2,23130,0,0,0,0,0,0,2013,1,1,45,10201.16945,1076.554557,9840,1091,9.475757063,66555,6149
397,3,4971,0,0,1,0,2,130,0,0,1,27,2013,1,2013,1,1,45,5574.883184,750.2156611,5116,722,7.431040796,37173,4156
398,3,3603,0,0,1,2,2,1540,0,0,1,1,2012,2,2013,1,1,45,5496.522959,614.6160714,5353.5,608,8.943018601,35757,3409
399,3,5113,0,0,1,0,0,5360,9,2012,1,40,2011,2,2013,1,1,45,5558.848875,564.9823151,5307,551.5,9.838978541,36727,3234
393,3,5041,0,0,1,3,2,4820,3,2008,0,0,0,0,2013,1,1,45,5903.066752,587.2567394,5693,578,10.05193531,37058,3239
350,3,5191,0,0,1,3,0,8880,0,0,1,14,2011,2,2013,1,1,45,7013.133163,529.4135723,6831,523,13.24698408,42868,2809
345,3,4005,0,0,1,0,0,120,0,0,1,22,2012,2,2013,1,1,45,4559.585209,494.3778135,4327,490.5,9.222875874,29830,2875
347,3,3802,0,0,1,3,2,9360,7,2013,1,22,2012,3,2013,1,1,45,4804.190476,386.6846847,4660,378,12.4240516,31585,2259
311,3,5011,0,0,1,0,2,680,7,2005,0,0,0,0,2013,1,1,45,6638.587708,789.1587708,6390,795,8.412233322,41554,4141
310,3,8088,0,0,1,0,2,2290,0,0,1,10,2014,3,2013,1,1,45,8236.363434,699.6700111,8240,722,11.77178284,59215,4372
309,3,4074,0,0,1,3,0,8740,0,0,1,37,2009,1,2013,1,1,45,6971.319641,591.0320924,6414,566,11.79516261,42704,3246
308,3,8532,0,0,1,0,0,1070,12,2006,1,13,2010,2,2013,1,1,45,9353.16276,938.4804688,8824.5,903,9.966283873,50578,4633
307,3,2104,0,0,1,0,0,18660,9,2002,0,0,0,0,2013,1,1,45,2703.736573,307.8056266,2602.5,313,8.783908867,17849,1785
306,3,4543,0,0,1,0,0,5100,4,2007,1,40,2014,2,2013,1,1,45,4368.866559,467.8794212,4338.5,476,9.337590758,29633,2956
305,3,3164,0,0,1,2,2,2470,2,2005,1,31,2013,3,2013,1,1,45,5347.341869,507.4583867,5081,495,10.53749827,35564,2907
304,3,7108,0,0,1,0,0,1950,7,2015,0,0,0,0,2013,1,1,45,7067.702806,1055.938776,6832,1054,6.693288446,41056,5117
303,3,6191,0,0,1,0,0,15430,11,2012,1,18,2011,1,2013,1,1,45,6160.533333,673.172549,5861,663,9.151492203,38220,3653
302,3,2854,0,0,1,3,2,2190,12,2007,1,9,2011,3,2013,1,1,45,3742.284251,323.3393086,3727,319,11.57386112,23907,1811
301,3,4973,0,0,1,0,2,4510,3,2015,0,0,0,0,2013,1,1,45,5538.441327,596.1428571,5431.5,599,9.290459929,30162,2872
300,3,4536,0,0,1,0,2,120,4,2009,1,1,2012,2,2013,1,1,45,7077.595908,878.6918159,6871,875,8.054696516,44420,4791
299,3,6184,0,0,1,3,2,38630,9,2012,0,0,0,0,2013,1,1,45,6235.306122,682.8287982,5884.5,645,9.131580477,54352,5606
298,3,8480,0,0,1,3,0,19840,7,2009,0,0,0,0,2013,1,1,45,8398.617363,691.2845659,8218,682.5,12.14929101,49028,3755
297,3,6877,0,0,1,0,0,2300,9,2010,0,0,0,0,2013,1,1,45,6992.070785,719.9305019,6532,706,9.71214689,47852,4280
296,3,6439,0,0,1,0,0,9580,5,2007,1,45,2014,1,2013,1,1,45,6963.460948,754.8079385,6663,769,9.225473915,44292,4022
295,3,4851,0,0,1,0,0,210,11,2000,1,36,2013,3,2013,1,1,45,5285.431145,670.980695,5050,663,7.877173196,38669,4448
280,3,5808,0,0,1,3,2,18640,9,2013,1,10,2014,3,2013,1,1,45,6267.48906,521.0592021,6085,514,12.02836268,39647,2796
281,3,4360,0,0,1,3,2,6970,9,2011,0,0,0,0,2013,1,1,45,5860.617347,549.6543367,5725,543,10.66236897,35315,2789
282,3,4207,0,0,1,0,0,1220,12,2010,0,0,0,0,2013,1,1,45,4408.584184,640.9834184,4279,647,6.877844352,23874,3074
284,3,3815,0,0,1,3,0,1290,0,0,1,40,2014,2,2013,1,1,45,5413.250804,449.9324759,5368.5,453,12.03125156,36371,2624
285,3,4327,0,0,1,0,0,2410,0,0,0,0,0,0,2013,1,1,45,5154.924456,470.2381562,5104,464,10.96236957,30347,2497
286,3,4796,0,0,1,0,0,1460,4,2015,0,0,0,0,2013,1,1,45,4927.820282,430.4557125,4544,434,11.44791471,24366,1983
312,3,5140,0,0,1,3,0,11300,3,2012,0,0,0,0,2013,1,1,45,5568.15749,538.653009,5165,525,10.33718813,33593,2951
287,3,6389,0,0,1,2,0,2740,5,2009,1,40,2014,2,2013,1,1,45,8152.400322,818.9983923,8081.5,812,9.954110287,48178,4364
289,3,6135,0,0,1,3,0,6540,12,2007,0,0,0,0,2013,1,1,45,6321.227913,553.709347,6135,543,11.41614811,34480,2830
290,3,5720,0,0,1,0,0,4150,5,2001,0,0,0,0,2013,1,1,45,7014.157895,682.7060334,6628,682,10.27405289,40103,3390
291,3,7658,0,0,1,3,0,2325,0,0,0,0,0,0,2013,1,1,45,8023.039744,840.35,7777.5,840.5,9.547259765,49352,4699
292,3,5076,0,0,1,0,0,1100,6,2009,0,0,0,0,2013,1,1,45,5743.518954,705.654902,5694,736,8.139274507,40429,3674
293,3,5570,0,0,1,2,2,140,11,2007,0,0,0,0,2013,1,1,45,6257.765006,815.3754789,5907,794,7.674703456,35935,4249
294,3,5093,0,0,1,0,0,3150,5,2005,0,0,0,0,2013,1,1,45,5770.28041,766.0243278,5702,782,7.532763909,39244,4364
288,3,3984,0,0,1,3,0,800,0,0,1,14,2011,3,2013,1,1,45,5625.733119,422.5176849,5325.5,411.5,13.31478733,34673,2351
348,3,8453,0,0,1,0,0,16490,0,0,1,22,2012,2,2013,1,1,45,8732.811765,732.5243697,8435,721,11.9215307,51859,4170
313,3,5591,0,0,1,3,2,14160,0,0,0,0,0,0,2013,1,1,45,7075.494885,707.0140665,6763.5,694,10.007573,46419,3888
315,3,4382,0,0,1,0,2,38710,4,2013,0,0,0,0,2013,1,1,45,4252.410714,449.5727041,4213,459,9.458783142,26533,2482
346,3,5181,0,0,1,0,2,8090,0,0,0,0,0,0,2013,1,1,45,6830.500642,619.6983312,6623,618,11.02229956,42006,3375
417,3,7265,0,0,1,0,2,840,0,0,1,10,2014,2,2013,1,1,45,7633.28113,804.0025674,7245,786,9.494100441,40429,3615
344,3,6864,0,0,1,0,2,300,4,2011,1,14,2011,2,2013,1,1,45,8481.108418,1139.410714,7882,1101,7.443416419,56881,6361
343,3,6447,0,0,1,3,0,18650,4,2004,1,14,2014,2,2013,1,1,45,7199.365854,702.1591784,6781,681,10.25318201,43796,3617
342,3,11044,0,0,1,3,2,15770,0,0,1,40,2014,2,2013,1,1,45,11104.13849,849.7342995,10835,840,13.06777718,70222,4709
341,3,4629,0,0,1,0,0,190,9,2011,0,0,0,0,2013,1,1,45,5511.534018,750.1347882,5249,729,7.347391568,31693,3841
340,3,5628,0,0,1,0,2,8080,0,0,0,0,0,0,2013,1,1,45,6485.642857,715.0382653,6175.5,700.5,9.070343745,37940,3510
339,3,1402,0,0,1,0,2,2280,0,0,1,10,2013,3,2013,1,1,45,5147.255968,681.1618037,4998.5,675,7.556583385,32956,3902
338,3,7142,0,0,1,0,2,1590,0,0,1,37,2009,2,2013,1,1,45,7217.953905,624.731114,6875,608,11.55369685,41344,3214
337,3,3497,0,0,1,3,2,10600,7,2005,1,45,2014,1,2013,1,1,45,5049.653009,383.9308579,4955,377,13.15250625,32576,2176
336,3,13817,0,0,1,0,0,190,7,2014,0,0,0,0,2013,1,1,45,13872.8329,1956.217224,13028,1917.5,7.091662796,85158,10453
334,3,5165,0,0,1,3,2,4040,8,2008,1,18,2013,3,2013,1,1,45,5428.385109,562.139923,5225,551,9.656643991,28719,2574
333,3,9138,0,0,1,0,2,3720,2,2010,0,0,0,0,2013,1,1,45,9773.190051,1267.109694,9454.5,1252,7.712978678,57994,6357
332,3,3432,0,0,1,0,0,1840,3,2006,0,0,0,0,2013,1,1,45,3728.566667,501.4974359,3776,528,7.43486686,21804,2625
331,3,6672,0,0,1,0,2,670,0,0,1,14,2015,2,2013,1,1,45,6160.856226,820.2053915,5914,818,7.511357874,33874,3874
330,3,3152,0,0,1,0,2,370,0,0,1,22,2012,3,2013,1,1,45,4166.637997,447.5545571,4061,442,9.309787893,22528,2153
316,3,8025,0,0,1,3,0,9000,8,2001,0,0,0,0,2013,1,1,45,9855.62516,901.8382542,9297,873,10.92837337,57985,4656
317,3,3808,0,0,1,3,0,3140,7,2013,1,14,2011,2,2013,1,1,45,5379.485531,579.318328,5325,568.5,9.285888726,33876,3135
318,3,7407,0,0,1,3,2,32330,3,2014,0,0,0,0,2013,1,1,45,7527.716667,658.7461538,7325,657.5,11.4273406,43969,3546
319,3,7939,0,0,1,0,2,570,9,2012,1,27,2012,3,2013,1,1,45,7787.076531,843.684949,7648.5,833,9.229839338,43349,4073
320,3,14984,0,0,1,0,2,210,9,2012,0,0,0,0,2013,1,1,45,14691.31355,2050.787097,14024,2015,7.163743897,91531,10914
321,3,4868,0,0,1,2,2,8140,11,2013,1,10,2014,3,2013,1,1,45,5958.317949,585.4641026,5933,587,10.17708502,37311,3252
314,3,3955,0,0,1,0,0,3560,10,2001,1,31,2013,1,2013,1,1,45,5137.715019,571.2580231,4914,570,8.993685535,31880,3163
322,3,4116,0,0,1,0,0,17500,4,2001,1,37,2009,2,2013,1,1,45,5021.172634,547.8670077,4850.5,564,9.164947996,34002,3228
324,3,4746,0,0,1,0,0,13140,0,0,1,14,2011,2,2013,1,1,45,5687.985897,721.7346154,5449,734,7.880993618,36075,3919
325,3,6043,0,0,1,0,2,350,3,2011,1,22,2011,1,2013,1,1,45,6484.6457,673.0603338,6279,649,9.634568217,38371,3537
326,3,3654,0,0,1,3,0,10070,5,2015,1,31,2013,1,2013,1,1,45,5008.903723,418.7419769,4918,414,11.96179031,34116,2331
327,3,7349,0,0,1,2,2,1390,12,2004,0,0,0,0,2013,1,1,45,7738.189189,930.6795367,7280,896,8.314558217,49725,5332
328,3,4363,0,0,1,0,0,3130,7,2002,0,0,0,0,2013,1,1,45,4432.029525,520.3992298,4363,537,8.51659509,26533,2822
329,3,6589,0,0,1,0,0,1310,6,1990,1,22,2012,3,2013,1,1,45,6912.716303,620.521181,6724,631,11.14017783,40781,3346
323,3,6425,0,0,1,3,2,8400,4,2012,1,5,2013,1,2013,1,1,45,7365.359435,621.1424904,7160,611,11.85776138,44899,3299
418,3,5319,0,0,1,0,0,1060,5,2009,1,27,2011,1,2013,1,1,45,5275.851804,551.5528351,5122.5,560,9.565451338,33639,3083
422,3,4072,0,0,1,0,2,2880,0,0,0,0,0,0,2013,1,1,45,4559.059949,464.5229592,4435,454,9.814498635,23196,2064
420,3,3595,0,0,1,3,2,250,0,0,1,27,2012,2,2013,1,1,45,4540.340836,403.1897106,4384.5,395,11.26105334,31931,2531
520,3,3882,0,0,1,0,2,6900,0,0,1,40,2012,3,2013,1,1,45,3869.732143,413.057398,3720,409,9.368509466,25379,2457
519,3,4484,0,0,1,2,2,2510,8,2009,1,1,2012,2,2013,1,1,45,5306.320153,559.0765306,5115.5,541,9.491223227,35236,3194
518,3,3818,0,0,1,3,2,3330,3,2015,1,13,2010,2,2013,1,1,45,5865.123596,504.3097913,5793,495,11.63000143,39804,2871
517,3,3584,0,0,1,0,2,22490,0,0,0,0,0,0,2013,1,1,45,5937.137203,649.4551451,5644,651,9.141720175,40657,3781
516,3,4053,0,0,1,0,2,20,0,0,1,35,2010,3,2013,1,1,45,5879.084724,760.5481386,5451,732,7.730062603,37338,4077
515,3,6954,0,0,1,3,2,11260,0,0,1,9,2011,1,2013,1,1,45,9058.15276,738.3080873,8964,723,12.26879797,51410,3584
514,3,4167,0,0,1,2,2,1200,7,2012,1,27,2012,2,2013,1,1,45,5756.009646,603.9662379,5351,581,9.530350017,38817,3644
513,3,20445,0,0,1,0,0,400,8,2013,0,0,0,0,2013,1,1,45,17826.1117,2066.5625,17656,2055,8.625972697,93565,9998
511,3,5541,0,0,1,0,0,2060,9,2009,0,0,0,0,2013,1,1,45,5662.320153,810.5982143,5524.5,799,6.985359767,32689,4051
510,3,7542,0,0,1,0,2,8260,0,0,0,0,0,0,2013,1,1,45,8196.739409,842.2002567,8058,861,9.732530172,48488,4215
509,3,5276,0,0,1,0,0,4740,7,2008,1,37,2009,2,2013,1,1,45,6125.06274,518.31242,5748,517,11.8173181,39017,2839
508,3,4705,0,0,1,0,2,1280,0,0,1,40,2011,2,2013,1,1,45,6767.699742,662.5128866,6332,641.5,10.21519714,45170,3882
507,3,6088,0,0,1,0,2,9070,4,2011,1,37,2009,2,2013,1,1,45,8455.770218,663.7779204,8103,649,12.7388543,48637,3354
521,3,4602,0,0,1,3,0,18610,11,2002,1,48,2011,3,2013,1,1,45,5181.014121,426.4929397,5052,420,12.14794816,32310,2349
506,3,6872,0,0,1,0,0,1850,12,2014,1,18,2011,1,2013,1,1,45,7581.344031,841.7021823,7019,825,9.007157389,46741,4557
504,3,6688,0,0,1,2,2,820,0,0,0,0,0,0,2013,1,1,45,6673.158163,953.4056122,6279,928.5,6.99928559,38250,4544
503,3,5279,0,0,1,3,2,13080,9,2006,1,14,2011,2,2013,1,1,45,6698.198718,470.5910256,6390,464,14.23358788,45993,2819
502,3,9543,0,0,1,0,0,220,2,2002,1,37,2009,2,2013,1,1,45,10795.6533,1517.649418,10287,1487,7.113403907,63491,7749
501,3,6534,0,0,1,0,2,1620,9,2006,0,0,0,0,2013,1,1,45,5378.180064,587.8102894,5196.5,590,9.149516709,33862,3303
500,3,3663,0,0,1,3,2,10690,9,2007,1,5,2013,2,2013,1,1,45,5354.036977,395.5562701,5242,389.5,13.53546229,36749,2490
499,3,4386,0,0,1,2,2,450,0,0,1,5,2013,1,2013,1,1,45,5155.988417,737.6782497,4996,731,6.989481416,36149,4239
498,3,7058,0,0,1,0,0,990,0,0,1,40,2014,2,2013,1,1,45,6996.533762,884.5675241,6886.5,884.5,7.909553054,36801,4483
497,3,8887,0,0,1,0,2,1610,0,0,0,0,0,0,2013,1,1,45,9062.122919,1116.357234,8784,1116,8.117583369,54045,5903
496,3,7426,0,0,1,3,2,2780,6,2015,0,0,0,0,2013,1,1,45,7728.90051,830.252551,7348,811,9.309095769,45805,4136
495,3,2899,0,0,1,3,0,5470,0,0,1,37,2009,2,2013,1,1,45,5154.718147,394.9034749,4886,382,13.05310911,36984,2431
493,3,5324,0,0,1,3,2,1150,0,0,1,14,2011,2,2013,1,1,45,8295.668806,808.2618742,7900,792,10.26359039,49932,4202
492,3,7977,0,0,1,0,0,1740,3,2008,1,40,2012,2,2013,1,1,45,7859.125407,1156.247557,7423,1125,6.797095795,48333,6285
491,3,4774,0,0,1,3,2,4680,0,0,1,22,2012,3,2013,1,1,45,6746.462033,527.2921493,6547,520,12.79454292,46632,3157
505,3,3984,0,0,1,0,0,350,0,0,1,5,2013,1,2013,1,1,45,4776.280566,594.6113256,4545,595,8.032609472,32100,3447
522,3,6303,0,0,1,3,2,7160,11,2012,1,9,2011,2,2013,1,1,45,8222.889246,633.0224719,8078,622,12.98988521,54630,3725
523,3,20493,0,0,1,2,2,50,11,2013,0,0,0,0,2013,1,1,45,15474.63974,1777.847436,14964.5,1719.5,8.704143804,72045,7752
524,3,7909,0,0,1,0,2,40860,9,2013,0,0,0,0,2013,1,1,45,7710.819523,818.5017026,7681,852,9.420651782,52905,4713
555,3,4196,0,0,1,3,0,1560,1,2014,1,10,2013,3,2013,1,1,45,5173.860353,479.0256822,5000,469,10.80079951,30082,2522
554,3,3783,0,0,1,2,2,1200,0,0,0,0,0,0,2013,1,1,45,4481.014031,546.0153061,4370.5,549,8.206755343,30937,3490
